Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Finland","2013","4.8"
"Mortality caused by road traffic injury (per 100,000 people)","Finland","2016","4.7"
"Mortality caused by road traffic injury (per 100,000 people)","France","2013","5.1"
"Mortality caused by road traffic injury (per 100,000 people)","France","2016","5.5"
"Mortality caused by road traffic injury (per 100,000 people)","French Polynesia","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","French Polynesia","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Gabon","2013","22.9"
"Mortality caused by road traffic injury (per 100,000 people)","Gabon","2016","23.2"
"Mortality caused by road traffic injury (per 100,000 people)","Gambia, The","2013","29.4"
"Mortality caused by road traffic injury (per 100,000 people)","Gambia, The","2016","29.7"
"Mortality caused by road traffic injury (per 100,000 people)","Georgia","2013","11.8"
"Mortality caused by road traffic injury (per 100,000 people)","Georgia","2016","15.3"
"Mortality caused by road traffic injury (per 100,000 people)","Germany","2013","4.3"
"Mortality caused by road traffic injury (per 100,000 people)","Germany","2016","4.1"
"Mortality caused by road traffic injury (per 100,000 people)","Ghana","2013","26.2"
"Mortality caused by road traffic injury (per 100,000 people)","Ghana","2016","24.9"
"Mortality caused by road traffic injury (per 100,000 people)","Gibraltar","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Gibraltar","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Greece","2013","9.1"
"Mortality caused by road traffic injury (per 100,000 people)","Greece","2016","9.2"
"Mortality caused by road traffic injury (per 100,000 people)","Greenland","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Greenland","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Grenada","2013","5.7"
"Mortality caused by road traffic injury (per 100,000 people)","Grenada","2016","9.3"
"Mortality caused by road traffic injury (per 100,000 people)","Guam","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Guam","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Guatemala","2013","19"
"Mortality caused by road traffic injury (per 100,000 people)","Guatemala","2016","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","Guinea","2013","27.3"
"Mortality caused by road traffic injury (per 100,000 people)","Guinea","2016","28.2"
"Mortality caused by road traffic injury (per 100,000 people)","Guinea-Bissau","2013","27.5"
"Mortality caused by road traffic injury (per 100,000 people)","Guinea-Bissau","2016","31.1"
"Mortality caused by road traffic injury (per 100,000 people)","Guyana","2013","17.3"
"Mortality caused by road traffic injury (per 100,000 people)","Guyana","2016","24.6"
"Mortality caused by road traffic injury (per 100,000 people)","Haiti","2013","15.1"
"Mortality caused by road traffic injury (per 100,000 people)","Haiti","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Honduras","2013","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Honduras","2016","16.7"
"Mortality caused by road traffic injury (per 100,000 people)","Hong Kong SAR, China","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Hong Kong SAR, China","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Hungary","2013","7.7"
"Mortality caused by road traffic injury (per 100,000 people)","Hungary","2016","7.8"
"Mortality caused by road traffic injury (per 100,000 people)","Iceland","2013","4.6"
"Mortality caused by road traffic injury (per 100,000 people)","Iceland","2016","6.6"
"Mortality caused by road traffic injury (per 100,000 people)","India","2013","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","India","2016","22.6"
"Mortality caused by road traffic injury (per 100,000 people)","Indonesia","2013","15.3"
"Mortality caused by road traffic injury (per 100,000 people)","Indonesia","2016","12.2"
"Mortality caused by road traffic injury (per 100,000 people)","Iran, Islamic Rep.","2013","32.1"
"Mortality caused by road traffic injury (per 100,000 people)","Iran, Islamic Rep.","2016","20.5"
"Mortality caused by road traffic injury (per 100,000 people)","Iraq","2013","20.2"
"Mortality caused by road traffic injury (per 100,000 people)","Iraq","2016","20.7"
"Mortality caused by road traffic injury (per 100,000 people)","Ireland","2013","4.1"
"Mortality caused by road traffic injury (per 100,000 people)","Ireland","2016","4.1"
